HDO-kategori,Tema,Tekst,Løfte-ID,Partier,Hvem
Utdanning og forskning,Studentboliger,Bygge 3000 studentboliger årlig.,56519 / 54581 / 61930 / 61211 / 57561,A / KrF / MDG / Sp / V ,Tiina
Utdanning og forskning,Studentboliger,Bygge minst 4000 studentboliger i året. ,59144,SV,Tiina 
Offentlig forvaltning,Stemmerett for 16-åringer,Videreføre forsøksordningen med stemmerett for 16-åringer ved lokalvalg.,57130,A,Amund
Offentlig forvaltning,Stemmerett for 16-åringer,Senke stemmerettsalderen til 16 år.,58584 / 61617 / 59290,V / MDG / SV,Amund
Offentlig forvaltning,Stemmerett for 16-åringer,Beholde felles myndighets- og stemmerettsalder på 18 år.,54741,KrF,Amund
Offentlig forvaltning,Fylkeskommunens overlevelse,Legge ned fylkeskommunen,60740 / 55558,H / FrP,Kristofer
Offentlig forvaltning,Fylkeskommunens overlevelse,"Ha regionalt forvaltningsnivå, men med større enheter",54735 / 61623,KrF / MDG /,Kristofer
Offentlig forvaltning,Fylkeskommunens overlevelse,Bevare fylkeskommunen,60799 / 59226,SP / SV,Kristofer
Arbeid og sosial,Arbeidsmiljøloven,Liberalisere arbeidsmiljøloven,56030,FrP,Kristofer
Arbeid og sosial,Arbeidsmiljøloven,Styrke arbeidsmiljøloven,55026 / 62103 ,KrF / MdG,Kristofer
Arbeid og sosial,Arbeidsmiljøloven,Reversere endringene i arbeidsmiljøloven fra forrige periode,61017 / 58879,SP / SV,Kristofer
Klima og miljø,Fortsatt oljeutvinning,Øke petroleumsvirksomhet på norsk sokkel,55753,FrP,Kristofer
Klima og miljø,Fortsatt oljeutvinning,Sikre stabil petroleumsvirksomhet,60040 / 55136,H / KrF / A,Kristofer
Klima og miljø,Fortsatt oljeutvinning,Fase ut petroleumsvirksomhet over 15-årsperiode,61522,MDG,Kristofer
Klima og miljø,Fortsatt oljeutvinning,Øke utnyttelse fra allerede åpnede felt,60870,SP,Kristofer
Klima og miljø,Fortsatt oljeutvinning,Ikke gjennomføre neste konsesjonsrunde,57681,V,Kristofer
Utdanning og forskning,Fraværsgrensen,Fjerne fraværsgrensen.,59124,SV,Amund
Utdanning og forskning,Fraværsgrensen,Erstatte nåværende fraværsregler med et nytt nasjonalt regelverk.,56441,A,Amund
Utdanning og forskning,Fraværsgrensen,Mer fleksibel praktisering av fraværsreglementet.,61195,Sp,Amund
Utdanning og forskning,Fraværsgrensen,Vurdere å øke dagens grense på 10 dager dokumentert fravær.,56141,FrP,Amund
Utdanning og forskning,Fraværsgrensen,Evaluere fraværsgrensen.,57503 / 56441,V / A,Amund
Utdanning og forskning,Fraværsgrensen,Beholde en nasjonal fraværsgrense.,60241,H,Amund
Utdanning og forskning,Sidemål i skolen,Valgfri sidemålsundervisning og -eksamen i ungdomsskolen.,56136,FrP,Amund
Utdanning og forskning,Sidemål i skolen,Avvikle ordningen med egen karakterer og eksamen i sidemål.,60245,H,Amund
